url,enabled,note
https://t.me/s/v2ray_alpha,true,auto-discovered
https://t.me/s/freev2rays,true,auto-discovered
https://t.me/s/v2rayconfigamir,true,auto-discovered
https://t.me/s/configx2ray,true,auto-discovered
https://t.me/s/napsternetvirani,true,auto-discovered
https://t.me/s/vpn_ete,true,auto-discovered
https://t.me/s/cybrix_network,true,auto-discovered
https://t.me/s/vynx_vpn,true,auto-discovered
https://t.me/s/cybrix_official,true,auto-discovered
https://t.me/s/gang_connect,true,auto-discovered
